code,name,url,type,manager,company
716,000879,中海医药健康产业混合C,http://fund.eastmoney.com/000879.html,混合型,郑磊,中海基金
717,000880,富国研究精选灵活配置,http://fund.eastmoney.com/000880.html,混合型,李晓铭,富国基金
722,000886,北信瑞丰无限互联主题灵活配,http://fund.eastmoney.com/000886.html,混合型,高峰,北信瑞丰
723,000887,上投摩根稳进回报混合,http://fund.eastmoney.com/000887.html,混合型,聂曙光,上投摩根基金
727,000892,九泰天宝灵活配置混合A,http://fund.eastmoney.com/000892.html,混合型,王玥晰,九泰基金
729,000894,中欧睿达定期开放,http://fund.eastmoney.com/000894.html,混合型,孙甜,中欧基金
739,000904,银华回报灵活配置定期开放混,http://fund.eastmoney.com/000904.html,混合型,王斌,银华基金
755,000924,宝盈先进制造混合,http://fund.eastmoney.com/000924.html,混合型,李健伟,宝盈基金
757,000926,中信建投睿信灵活配置混合A,http://fund.eastmoney.com/000926.html,混合型,王晓贞,中信建投基金
759,000928,中融国企改革混合,http://fund.eastmoney.com/000928.html,混合型,解静,中融基金
760,000929,博时黄金ETFD,http://fund.eastmoney.com/000929.html,混合型,赵云阳,博时基金
761,000930,博时黄金ETFI,http://fund.eastmoney.com/000930.html,混合型,赵云阳,博时基金
763,000932,前海开源睿远稳健增利混合A,http://fund.eastmoney.com/000932.html,混合型,刘静,前海开源基金
764,000933,前海开源睿远稳健增利混合C,http://fund.eastmoney.com/000933.html,混合型,刘静,前海开源基金
766,000935,汇金转型成长,http://fund.eastmoney.com/000935.html,混合型,赵语涛,浙商证券资管
767,000936,博时产业新动力混合,http://fund.eastmoney.com/000936.html,混合型,蔡滨,博时基金
770,000939,中银研究精选灵活配置混合,http://fund.eastmoney.com/000939.html,混合型,赵志华,中银基金
771,000940,富国中小盘精选混合,http://fund.eastmoney.com/000940.html,混合型,曹晋,富国基金
775,000945,华夏医疗健康混合A,http://fund.eastmoney.com/000945.html,混合型,陈斌,华夏基金
776,000946,华夏医疗健康混合C,http://fund.eastmoney.com/000946.html,混合型,陈斌,华夏基金
781,000953,国泰睿吉灵活配置混合A,http://fund.eastmoney.com/000953.html,混合型,樊利安,国泰基金
782,000954,国泰睿吉灵活配置混合C,http://fund.eastmoney.com/000954.html,混合型,樊利安,国泰基金
789,000963,兴业多策略混合,http://fund.eastmoney.com/000963.html,混合型,吴卫东,兴业基金
790,000965,汇丰晋信新动力混合,http://fund.eastmoney.com/000965.html,混合型,陈平,汇丰晋信基金
791,000966,中邮核心科技创新灵活配置混合,http://fund.eastmoney.com/000966.html,混合型,曹思,中邮基金
792,000967,华泰柏瑞创新动力混合,http://fund.eastmoney.com/000967.html,混合型,张慧,华泰柏瑞基金
794,000969,前海开源大安全混合,http://fund.eastmoney.com/000969.html,混合型,薛小波,前海开源基金
795,000970,东方红睿元混合,http://fund.eastmoney.com/000970.html,混合型,林鹏,上海东方证券资产管理
797,000972,新华万银策略灵活配置混合,http://fund.eastmoney.com/000972.html,混合型,崔建波,新华基金
801,000976,长城新兴产业混合,http://fund.eastmoney.com/000976.html,混合型,陈良栋,长城基金
802,000977,长城环保主题混合,http://fund.eastmoney.com/000977.html,混合型,何以广,长城基金
810,000986,太平灵活配置,http://fund.eastmoney.com/000986.html,混合型,独孤南薰,太平基金
816,000992,广发对冲套利定期开放混合,http://fund.eastmoney.com/000992.html,混合型,魏军,广发基金
817,000993,华宝稳健回报混合,http://fund.eastmoney.com/000993.html,混合型,闫旭,华宝基金
818,000994,建信睿盈灵活配置混合A,http://fund.eastmoney.com/000994.html,混合型,许杰,建信基金
819,000995,建信睿盈灵活配置混合C,http://fund.eastmoney.com/000995.html,混合型,许杰,建信基金
823,001000,中欧明睿新起点混合,http://fund.eastmoney.com/001000.html,混合型,周晶,中欧基金
826,001004,新华稳健回报混合发起式,http://fund.eastmoney.com/001004.html,混合型,崔建波,新华基金
827,001005,中海合鑫混合,http://fund.eastmoney.com/001005.html,混合型,夏春晖,中海基金
829,001007,国联安鑫安灵活配置混合,http://fund.eastmoney.com/001007.html,混合型,王超伟,国联安基金
835,001014,中融融安混合,http://fund.eastmoney.com/001014.html,混合型,沈潼,中融基金
838,001017,泰达改革动力混合A,http://fund.eastmoney.com/001017.html,混合型,刘欣,泰达宏利基金
839,001018,易方达新经济混合,http://fund.eastmoney.com/001018.html,混合型,陈皓,易方达基金
846,001029,国投瑞银新动力混合,http://fund.eastmoney.com/001029.html,混合型,桑俊,国投瑞银基金
847,001030,天弘云端生活优选,http://fund.eastmoney.com/001030.html,混合型,肖志刚,天弘基金
853,001037,国投瑞银锐意改革混合,http://fund.eastmoney.com/001037.html,混合型,杨冬冬,国投瑞银基金
867,001053,南方创新经济,http://fund.eastmoney.com/001053.html,混合型,章晖,南方基金
870,001056,北信瑞丰健康生活主题灵活配,http://fund.eastmoney.com/001056.html,混合型,高峰,北信瑞丰
873,001059,中金绝对收益,http://fund.eastmoney.com/001059.html,混合型,魏孛,中金基金
874,001060,前海开源高端装备制造混合,http://fund.eastmoney.com/001060.html,混合型,薛小波,前海开源基金
880,001067,鹏华弘盛混合A,http://fund.eastmoney.com/001067.html,混合型,刘太阳,鹏华基金
881,001068,华融新锐灵活配置混合,http://fund.eastmoney.com/001068.html,混合型,范贵龙,华融证券
882,001069,华泰柏瑞消费成长混合,http://fund.eastmoney.com/001069.html,混合型,方纬,华泰柏瑞基金
884,001071,华安媒体互联网混合,http://fund.eastmoney.com/001071.html,混合型,胡宜斌,华安基金
886,001073,华泰柏瑞量化绝对收益混合,http://fund.eastmoney.com/001073.html,混合型,田汉卿,华泰柏瑞基金
887,001074,华泰柏瑞量化驱动混合,http://fund.eastmoney.com/001074.html,混合型,田汉卿,华泰柏瑞基金
888,001075,宝盈转型动力混合,http://fund.eastmoney.com/001075.html,混合型,盖俊龙,宝盈基金
889,001076,易方达改革红利混合,http://fund.eastmoney.com/001076.html,混合型,郭杰,易方达基金
894,001088,华宝国策导向混合,http://fund.eastmoney.com/001088.html,混合型,刘自强,华宝基金
902,001102,前海开源国家比较优势混合,http://fund.eastmoney.com/001102.html,混合型,曲扬,前海开源基金
903,001103,前海开源工业革命4.0混合,http://fund.eastmoney.com/001103.html,混合型,薛小波,前海开源基金
906,001106,华商健康生活混合,http://fund.eastmoney.com/001106.html,混合型,蔡建军,华商基金
907,001110,中欧瑾泉灵活配置混合A,http://fund.eastmoney.com/001110.html,混合型,孙甜,中欧基金
908,001111,中欧瑾泉灵活配置混合C,http://fund.eastmoney.com/001111.html,混合型,孙甜,中欧基金
909,001112,东方红中国优势混合,http://fund.eastmoney.com/001112.html,混合型,王延飞,上海东方证券资产管理
911,001115,广发聚安混合A,http://fund.eastmoney.com/001115.html,混合型,谭昌杰,广发基金
912,001116,广发聚安混合C,http://fund.eastmoney.com/001116.html,混合型,谭昌杰,广发基金
913,001117,中欧精选定期开放混合A,http://fund.eastmoney.com/001117.html,混合型,周蔚文,中欧基金
914,001118,华宝事件驱动混合,http://fund.eastmoney.com/001118.html,混合型,徐林明,华宝基金
915,001119,国投瑞银新回报混合,http://fund.eastmoney.com/001119.html,混合型,桑俊,国投瑞银基金
916,001120,东方睿鑫热点挖掘混合A,http://fund.eastmoney.com/001120.html,混合型,薛子徵,东方基金
917,001121,东方睿鑫热点挖掘混合C,http://fund.eastmoney.com/001121.html,混合型,薛子徵,东方基金
918,001122,鹏华弘利混合A,http://fund.eastmoney.com/001122.html,混合型,李君,鹏华基金
919,001123,鹏华弘利混合C,http://fund.eastmoney.com/001123.html,混合型,李君,鹏华基金
921,001125,博时互联网主题灵活配置混合,http://fund.eastmoney.com/001125.html,混合型,招扬,博时基金
923,001127,中银宏观策略混合,http://fund.eastmoney.com/001127.html,混合型,辜岚,中银基金
924,001128,宝盈新兴产业混合,http://fund.eastmoney.com/001128.html,混合型,盖俊龙,宝盈基金
927,001135,益民品质升级混合,http://fund.eastmoney.com/001135.html,混合型,吕伟,益民基金
928,001136,易方达裕如混合,http://fund.eastmoney.com/001136.html,混合型,张清华,易方达基金
931,001139,华安新动力灵活配置混合,http://fund.eastmoney.com/001139.html,混合型,郑可成,华安基金
932,001140,工银总回报灵活配置混合,http://fund.eastmoney.com/001140.html,混合型,鄢耀,工银瑞信基金
933,001141,泰达宏利创盈混合A,http://fund.eastmoney.com/001141.html,混合型,傅浩,泰达宏利基金
934,001142,泰达宏利创盈混合B,http://fund.eastmoney.com/001142.html,混合型,傅浩,泰达宏利基金
935,001143,华商量化进取混合,http://fund.eastmoney.com/001143.html,混合型,邓默,华商基金
936,001144,大成互联网思维混合,http://fund.eastmoney.com/001144.html,混合型,李博,大成基金
937,001146,中欧瑾源灵活配置混合A,http://fund.eastmoney.com/001146.html,混合型,张跃鹏,中欧基金
938,001147,中欧瑾源灵活配置混合C,http://fund.eastmoney.com/001147.html,混合型,张跃鹏,中欧基金
939,001148,申万菱信多策略灵活配置混合A,http://fund.eastmoney.com/001148.html,混合型,丁杰科,申万菱信基金
941,001150,融通互联网传媒灵活配置混合,http://fund.eastmoney.com/001150.html,混合型,张鹏,融通基金
