code,name,type,manager,company
001164,中欧琪和灵活配置混合A,混合型,孙甜,中欧基金
001165,中欧琪和灵活配置混合C,混合型,孙甜,中欧基金
001166,建信环保产业股票,股票型,姜锋,建信基金
001167,金鹰科技创新股票,股票型,黄艳芳,金鹰基金
001168,国投瑞银优选收益混合,混合型,桑俊,国投瑞银基金
001169,国投瑞银新价值混合,混合型,殷瑞飞,国投瑞银基金
001170,泰达宏利复兴混合,混合型,吴华,泰达宏利基金
001171,工银养老产业股票,股票型,赵蓓,工银瑞信基金
001172,鹏华弘泽混合A,混合型,周恩源,鹏华基金
001173,中欧瑾和灵活配置混合A,混合型,王健,中欧基金
001174,中欧瑾和灵活配置混合C,混合型,王健,中欧基金
001175,山证日日添利货币A,货币型,华志贵,山西证券
001176,山证日日添利货币B,货币型,华志贵,山西证券
001177,山证日日添利货币C,货币型,华志贵,山西证券
001178,前海开源再融资股票,股票型,邱杰,前海开源基金
001179,德邦大健康灵活配置混合,混合型,黎莹,德邦基金
001180,广发医药卫生联接A,联接基金,陆志明,广发基金
001181,南方改革机遇,混合型,刘霄汉,南方基金
001182,易方达安心回馈混合,混合型,张清华,易方达基金
001183,南方利淘A,混合型,孙鲁闽,南方基金
001184,易方达新常态灵活配置混合,混合型,宋昆,易方达基金
001185,安信动态策略混合A,混合型,蓝雁书,安信基金
001186,富国文体健康股票,股票型,林庆,富国基金
001188,鹏华改革红利股票,股票型,伍旋,鹏华基金
001189,广发聚宝混合,混合型,谭昌杰,广发基金
001190,鹏华弘润混合A,混合型,李君,鹏华基金
001191,鹏华弘润混合C,混合型,李君,鹏华基金
001192,上投摩根整合驱动混合,混合型,征茂平,上投摩根基金
001193,中金消费升级,股票型,郭党钰,中金基金
001194,景顺长城稳健回报混合A,混合型,万梦,景顺长城基金
001195,工银农业产业股票,股票型,杨柯,工银瑞信基金
001196,东方鼎新灵活配置混合A,混合型,周薇,东方基金
001197,长盛转型升级主题灵活配置混,混合型,刘旭明,长盛基金
001198,东方惠新灵活配置混合A,混合型,周薇,东方基金
001199,创金合信聚利债券A,债券型,王一兵,创金合信基金
001200,创金合信聚利债券C,债券型,郑振源,创金合信基金
001201,申万菱信安鑫回报混合A,混合型,丁杰科,申万菱信基金
001202,东方红领先精选混合,混合型,纪文静,上海东方证券资产管理
001203,东方红稳健精选混合A,混合型,纪文静,上海东方证券资产管理
001204,东方红稳健精选混合C,混合型,纪文静,上海东方证券资产管理
001205,建信稳健回报灵活配置混合,混合型,牛兴华,建信基金
001206,广发聚惠混合A,混合型,代宇,广发基金
001207,广发聚惠混合C,混合型,代宇,广发基金
001208,诺安低碳经济股票,股票型,盛震山,诺安基金
001209,前海开源一带一路混合A,混合型,薛小波,前海开源基金
001210,天弘互联网混合,混合型,肖志刚,天弘基金
001211,中欧滚钱宝货币A,货币型,黄华,中欧基金
001212,华润元大稳健债券A,债券型,张俊杰,华润元大基金
001213,华润元大稳健债券C,债券型,张俊杰,华润元大基金
001214,华泰柏瑞中证500ETF联接,联接基金,柳军,华泰柏瑞基金
001215,博时沪港深优质企业基金A,混合型,张溪冈,博时基金
001216,易方达新收益混合A,混合型,张清华,易方达基金
001217,易方达新收益混合C,混合型,张清华,易方达基金
001218,国投瑞银精选收益混合,混合型,桑俊,国投瑞银基金
001219,上投摩根动态多因子混合,混合型,黄栋,上投摩根基金
001220,民生加银研究精选混合,混合型,宋磊,民生加银基金
001221,国联安鑫富混合A,混合型,吕中凡,国联安基金
001222,鹏华外延成长混合,混合型,陈璇淼,鹏华基金
001223,鹏华文化传媒娱乐股票,股票型,谢书英,鹏华基金
001224,中邮新思路灵活配置混合,混合型,国晓雯,中邮基金
001225,中邮趋势精选灵活配置混合,混合型,许进财,中邮基金
001226,中邮稳健添利灵活配置混合,混合型,张萌,中邮基金
001227,中邮信息产业灵活配置混合,混合型,任泽松,中邮基金
001228,国联安鑫享灵活配置混合A,混合型,薛琳,国联安基金
001229,德邦福鑫灵活配置混合A,混合型,许文波,德邦基金
001230,鹏华医药科技,股票型,金笑非,鹏华基金
001231,银华泰利灵活配置混合A,混合型,葛鹤军,银华基金
001232,嘉合货币A,货币型,季慧娟,嘉合基金
001233,嘉合货币B,货币型,季慧娟,嘉合基金
001234,国金众赢货币,货币型,徐艳芳,国金基金
001235,中银国有企业债,债券型,方抗,中银基金
001236,博时丝路主题股票A,股票型,沙炜,博时基金
001237,博时上证50ETF联接,联接基金,赵云阳,博时基金
001239,长盛国企改革混合,混合型,田间,长盛基金
001240,民生加银现金增利货币D,货币型,李文君,民生加银基金
001241,国寿安保中证500ETF联,联接基金,李康,国寿安保基金
001242,博时中证淘金大数据100A,股票指数,桂征辉,博时基金
001243,博时中证淘金大数据100I,股票指数,桂征辉,博时基金
001244,华泰柏瑞量化智慧混合,混合型,田汉卿,华泰柏瑞基金
001245,工银生态环境股票,股票型,何肖颉,工银瑞信基金
