code,return,beta,alpha,r_squared,std,up_days,max_rate,min_rate
001501,0.0578656635191,0.120988770913,0.0284420516174,28.1730218594,0.183109512494,183,1.41,-0.85
001502,0.047058958849,0.124722591599,0.0176531347947,32.9198549726,0.174621907275,182,0.94,-0.85
001503,0.0461809968931,0.0541259196997,0.016438851698,33.8389344835,0.0747445457236,136,0.28,-0.19
001504,0.055339161936,0.0577219058173,0.0256141479473,34.2642916586,0.0792140722963,152,0.38,-0.28
001505,0.0723768127098,0.190092421537,0.0432824092252,49.61639048,0.216787769647,195,1.03,-0.79
001506,0.0550910895168,0.0258735271195,0.0252143504854,6.7413531102,0.0800506119189,140,0.36,-0.38
001507,0.0529341608009,0.0277806943577,0.0230665074762,7.23976042488,0.0829399093835,147,0.27,-0.38
001508,-0.0621539413858,1.62964907559,-0.0843903256023,80.2236851417,1.46158927767,201,4.95,-8.23
001510,-0.0665378310454,1.6305377225,-0.0887699817657,80.271736991,1.46194851309,201,4.95,-8.14
001511,0.11762618522,0.616029218915,0.0905609361663,77.3551245744,0.562651297064,229,1.89,-2.94
001515,-0.181081187265,1.77972808903,-0.202602598046,86.235106741,1.53955128247,218,5.25,-8.38
001517,0.0531655174193,0.0625726225235,0.0234636121484,20.3563684638,0.111408098891,160,0.77,-0.37
001518,0.121167200327,1.63703595267,0.0989660070457,83.3954358663,1.44002367974,242,6.81,-8.34
001522,0.0435806409211,0.0300790400872,0.0137239368698,10.8060810804,0.0735042446801,227,0.59,-0.45
001534,-0.109291527772,1.74598096228,-0.130973709194,88.8160334281,1.48825165729,208,5.14,-8.61
001535,0.0629077410075,0.477786059586,0.0351839042925,65.7138253905,0.473464756767,226,2.24,-3.88
001537,0.0520396431899,0.451813891506,0.0241920755827,66.5567974178,0.444883121264,235,1.36,-2.11
001538,-0.00681162522375,1.74607682126,-0.0284933499756,86.8684567059,1.50492498282,219,5.22,-8.89
001540,-0.0914300444828,1.49955325821,-0.114286202586,86.7305898827,1.29347578368,211,3.74,-6.35
001543,0.17925332336,0.515557914448,0.15170943101,35.1458792649,0.698590715481,216,2.83,-2.46
001547,0.0999559106192,0.0940256319808,0.0704038468599,5.14635986279,0.332949788325,138,6.49,-0.42
001563,-0.0922317757141,1.83791102981,-0.113476004123,92.6445616447,1.53390010198,226,4.65,-8.58
001564,0.195460616445,1.00857374467,0.170265441705,81.519224693,0.897346546383,250,3.34,-5.05
001565,-0.100724547161,0.276707476328,-0.129406318247,23.4168018972,0.459345705159,155,2.58,-4.02
001566,0.0408597934345,0.060823702279,0.0111495563424,39.3778059364,0.0778627345497,140,0.2,-0.28
001567,0.0408538132737,0.0658451787778,0.0111674983957,42.9779472877,0.0806833095676,143,0.28,-0.28
001569,-0.100493551284,1.31506941892,-0.124228586729,71.4862980244,1.24945273655,217,4.43,-5.45
001570,0.034762965095,0.0882663803461,0.00518346437543,49.5406349745,0.100738873594,149,0.29,-0.57
001571,-0.0211756379173,0.0524932791876,-0.0509255609793,1.51569418453,0.342515688732,103,0.73,-6.52
001572,0.0243577539374,0.0998611128771,-0.00516650970702,31.0429991232,0.143978327028,98,0.67,-0.95
001574,0.0124367326064,1.37416628103,-0.011016766562,53.8778649498,1.50389202617,221,6.03,-8.39
001580,0.035344829803,0.0920612794393,0.00578340790718,48.9310523302,0.105722466322,153,0.29,-0.57
001582,0.0393972411259,0.0766966946605,0.0097626226538,31.2262854054,0.110255190279,151,1.0,-0.39
001584,0.039060610287,0.0448486710414,0.00927426846381,12.4666266148,0.102036994981,127,0.67,-0.38
001585,0.0312308391402,0.0426260131731,0.00143390861912,9.39523368724,0.111712939373,126,0.77,-0.85
001597,0.137451771845,0.116376898215,0.108006189074,17.0494869034,0.226408995858,195,1.2,-0.67
001598,0.125042159954,0.119417385938,0.0956110620059,17.2378068932,0.23105167017,193,1.21,-1.0
001601,0.0194019111533,0.101575681317,-0.0101141843212,31.4583627676,0.145480318606,164,0.49,-0.69
001602,0.0139064306639,0.0991712336998,-0.0156211195512,28.6617182556,0.148804875985,163,0.49,-0.69
001606,0.048894408559,1.76195241534,0.0272883148216,80.4577816724,1.5779480672,232,5.57,-7.71
001607,0.113007099502,0.158457755302,0.0837619890967,9.1868602538,0.419964423967,221,4.21,-2.06
001608,0.021888492826,0.164307938949,-0.00732874742084,9.14623826547,0.436435279869,211,1.42,-5.23
001609,0.0818160806189,0.115997071622,0.0523686883611,20.6182101763,0.205212637362,175,0.9,-0.98
001610,0.0823513142655,0.108974199092,0.0528704651825,18.8607757672,0.201570265354,166,0.99,-0.98
001620,0.0448580692266,1.06438630461,0.0199287844118,91.167054857,0.895494397049,237,2.93,-5.17
001623,0.119187360097,1.20495696508,0.0949277511124,85.6872448825,1.04567326504,234,3.88,-5.91
001635,0.100832640741,0.455048339119,0.0730004819784,44.0319249371,0.550879048526,240,3.02,-3.2
001636,0.0904623033099,0.45708574522,0.062639850709,44.3651362372,0.551263610715,244,3.02,-3.21
001641,0.0205413570091,0.00740071044218,-0.00942338615354,0.154838732627,0.151083196991,137,0.58,-0.9
001650,0.0423930793822,0.144217224955,0.0130801273735,50.8077963015,0.162530365829,190,0.41,-0.79
001654,0.0484545325947,0.112768915163,0.0189917614637,5.72560738665,0.3785830606,168,2.92,-2.04
001662,0.0807943040977,1.31502188216,0.0570590421894,77.6666720898,1.19866600581,243,4.69,-6.67
001664,0.073223928118,0.121489255661,0.0438027005156,17.5557581181,0.232922066519,164,1.07,-1.22
001665,0.0681838185109,0.127866884237,0.0387929738042,18.1448319933,0.241137172769,155,1.08,-1.23
001670,0.0420434763638,0.242965267248,0.0132009580646,45.5060464964,0.289329154949,159,1.06,-1.96
001671,0.0719187552361,0.232382804767,0.0430258222961,32.7128761375,0.326382738582,163,2.75,-1.88
001673,0.00375151835151,1.11896056191,-0.0209177757869,90.9481074764,0.942541550273,237,3.32,-5.55
001674,0.00131761534405,1.11940278486,-0.023349572053,90.9182161917,0.943069039616,238,3.32,-5.57
001675,0.0322020956937,0.138175943144,0.00286036313858,32.7177114269,0.194054418781,237,1.03,-0.87
001676,0.0244865831562,0.137355961574,-0.00485905577479,32.1930720476,0.194468319123,230,1.03,-0.88
001679,-0.0916708103262,0.43340841734,-0.119606061246,12.8985304683,0.969415104682,165,5.01,-7.59
001682,0.0465541421374,1.12897244213,0.0219325443972,80.0521144943,1.01363009111,223,4.62,-5.85
001683,0.0436693953734,1.11826389823,0.0189967823431,87.3315920732,0.961260669576,233,3.4,-5.57
001686,0.0679723263181,0.0396358577373,0.038161150756,9.81331567705,0.101639596853,219,0.37,-0.57
001687,0.0624645456226,0.0414475965962,0.0326620011484,10.548013607,0.102517160646,208,0.36,-0.67
001688,0.0458197094899,0.146416879304,0.0165172365908,42.8445821509,0.179690760996,160,0.6,-1.32
001695,0.0789197706936,0.319848757476,0.0504435238127,65.1235089077,0.318389201101,214,1.08,-1.36
001702,-0.041250319642,1.97402260426,-0.0618461152172,90.3561733957,1.66822937398,222,5.27,-9.12
001704,0.00871692624272,0.111858122196,-0.0207501838879,48.8036613671,0.12862455329,146,0.44,-0.78
001708,-0.0185013801752,1.17111937578,-0.0429221907617,77.6476710664,1.06762689762,219,3.96,-6.8
001709,0.0609784577272,0.152077875796,0.0317029537028,17.2195838014,0.294399637005,164,1.97,-1.31
001712,0.201345531521,1.15351691658,0.176840863169,74.8154527566,1.07129942373,241,3.73,-7.55
001716,0.0953558806307,0.231587625391,0.066459159472,31.0913436308,0.333640037935,198,2.5,-1.42
001723,-0.134525484839,1.61168875607,-0.156847431661,77.696142416,1.46880453678,221,4.75,-7.23
001724,0.0434591089801,0.0554406162667,0.0137232269733,19.9370280015,0.0997425339767,162,0.29,-0.57
001727,0.0718091181581,0.0710316894874,0.042147511714,13.3385394134,0.156235803003,174,1.25,-0.66
001730,-0.00582731756144,0.78524899381,-0.032086406973,67.6572044567,0.766889729628,221,1.97,-3.55
001734,0.00428874643866,0.800523879134,-0.021897573723,70.2526591172,0.767229803922,222,2.9,-4.69
001735,0.00484996765035,0.795478099424,-0.0213603905055,69.8622112572,0.764521355627,227,2.9,-4.69
001740,0.26825624282,0.913328775085,0.242607322939,47.2144861345,1.06775610828,224,4.03,-7.48
001741,0.0454074820181,1.08545870549,0.020578585702,74.7654862901,1.00842889791,241,3.38,-4.91
001742,0.0453458373911,1.08289289903,0.0205047176241,74.7456099097,1.00617892951,241,3.38,-5.02
001753,-0.00710333955929,1.17443500365,-0.0315083545606,60.2656956808,1.2152802981,218,3.67,-5.95
001754,0.0393395110168,1.47895287998,0.0163852131217,88.1658847369,1.26527990312,229,3.88,-7.77
001761,0.123609125302,0.297228244604,0.095025114748,39.8893716814,0.378045468267,199,2.07,-2.37
001762,0.106990151486,0.310356842197,0.078468685309,43.4699662142,0.378137049035,201,2.03,-2.33
001763,0.00844671309093,0.895563921577,-0.0172868381988,67.0597883784,0.878512727446,207,2.72,-4.73
001769,0.0847365916183,1.02420412878,0.0596158797171,82.9407004131,0.903410701091,238,4.55,-6.64
001772,0.105900138269,0.65447570097,0.0790180474911,66.2253729842,0.646046648846,228,2.59,-3.93
001775,0.0431713016456,0.0699391502716,0.0135044903664,17.6205397267,0.133842273665,238,0.88,-0.67
001777,0.205797681925,0.181230417702,0.17666106003,8.47748477043,0.500011669134,240,7.8,-1.71
001778,0.0652776106964,0.152960028014,0.0360063092276,46.2558462109,0.180666319329,237,0.96,-1.71
001791,-0.0302460560715,0.072418111601,-0.0599010576282,13.3153398377,0.159423972232,123,0.51,-0.89
001792,-0.0399700147717,0.0724099019487,-0.069625055439,13.2082891889,0.1600505727,112,0.52,-1.0
001795,0.127424046502,1.09649178785,0.102647711571,53.0329730495,1.20952529074,214,4.14,-5.17
001796,0.0566812885586,0.142781441689,0.027361496507,44.1979775886,0.172525431276,184,0.66,-0.7
001797,0.012332352805,0.17598097716,-0.0168292773199,10.2664955006,0.441201694643,161,1.75,-2.96
001798,0.0268122673769,0.147824178758,-0.00248350117566,46.6170109299,0.173922520624,201,0.7,-0.8
001799,0.0314931038147,0.146884428382,0.00219285831008,42.1618174067,0.181718295093,201,0.97,-0.7
001801,0.0456617975189,0.100582103085,0.0161409686574,30.2272827094,0.146961547274,173,0.57,-0.58
001808,0.079191538545,1.12585535671,0.0545550910718,64.5892942297,1.12534292943,207,4.1,-5.81
001810,0.177558958236,1.25932290989,0.153558347532,80.3132030204,1.12882388071,245,4.5,-7.08
001811,0.151884096947,0.733231513559,0.125377197294,30.2292989746,1.0712963911,211,4.84,-6.09
001815,0.148897714034,0.355571713151,0.120591650603,28.0547190437,0.539270669367,205,2.12,-2.39
001822,0.0905003866909,1.09065030125,0.0656962230337,53.21676618,1.20100230558,217,5.6,-8.1
001823,0.037361386433,0.131992875688,0.00799019786755,32.5016843772,0.185985940032,180,0.68,-0.89
001829,0.0459631046241,0.608328161802,0.0188611678877,31.3745643362,0.872432082283,212,2.81,-5.85
001830,-0.00716878285728,1.89244837102,-0.0281531964573,88.8374283072,1.61290433333,227,5.59,-8.17
001834,-0.00226617662401,0.0171056209899,-0.0321846857858,8.24053517125,0.0478678249379,28,0.2,-0.5
001837,0.269780676432,0.512382670188,0.242221657282,19.3143587384,0.93656266993,234,3.85,-3.58
001838,-0.0910191957309,1.53665798596,-0.113698587649,58.9548626469,1.60768129537,220,5.83,-8.18
001840,0.158572989681,0.0581120582421,0.12884983437,0.298367280098,0.854620326021,163,17.75,-1.4
001841,0.11643154108,0.0435558593518,0.0866390403277,0.582717823364,0.458352910471,164,9.21,-0.67
001845,0.0361962259476,0.0279384261868,0.00632932405426,9.27539494564,0.0736916515983,120,0.39,-0.29
001846,0.0460992762739,0.16431624709,0.0168820756069,58.9412274461,0.171930718065,173,0.61,-1.21
001852,0.151419359546,0.441832209834,0.123524239406,26.3524588586,0.691399973615,205,2.69,-1.87
001861,0.0647004415767,0.672725242075,0.0379052912499,59.0788398596,0.703079284415,246,2.07,-3.84
