code,name,type,manager,company
001406,东方红策略精选混合C,混合型,饶刚,上海东方证券资产管理
001407,景顺长城稳健回报混合C,混合型,万梦,景顺长城基金
001408,建信鑫丰回报灵活配置混合A,混合型,牛兴华,建信基金
001411,诺安创新驱动混合A,混合型,吴博俊,诺安基金
001412,德邦鑫星价值灵活配置混合A,混合型,许文波,德邦基金
001413,中融新动力混合A,混合型,姜涛,中融基金
001414,中融新动力混合C,混合型,姜涛,中融基金
001415,信诚新锐混合A,混合型,杨立春,信诚基金
001417,汇添富医疗服务混合,混合型,刘江,汇添富基金
001418,泰达宏利创益混合A,混合型,傅浩,泰达宏利基金
001419,泰达宏利新思路混合A,混合型,傅浩,泰达宏利基金
001422,景顺长城安享回报混合A,混合型,万梦,景顺长城基金
001423,景顺长城安享回报混合C,混合型,万梦,景顺长城基金
001424,博时新起点混合A,混合型,过钧,博时基金
001425,博时新起点混合C,混合型,过钧,博时基金
001427,招商丰泽混合A,混合型,王刚,招商基金
001429,博时新财富混合A,混合型,王申,博时基金
001430,中邮乐享收益灵活配置混合,混合型,吴昊,中邮基金
001431,方正富邦优选灵活配置混合A,混合型,王健,方正富邦基金
001433,易方达瑞景混合,混合型,张清华,易方达基金
001437,易方达瑞享混合I,混合型,梁裕宁,易方达基金
001438,易方达瑞享混合E,混合型,梁裕宁,易方达基金
001443,易方达瑞选灵活配置混合I,混合型,张清华,易方达基金
001444,易方达瑞选灵活配置混合E,混合型,张清华,易方达基金
001445,华安国企改革主题灵活配置混合,混合型,王嘉,华安基金
001446,招商丰泽混合C,混合型,王刚,招商基金
001447,天弘惠利混合,混合型,钱文成,天弘基金
001448,华商双翼平衡混合,混合型,梁伟泓,华商基金
001449,华商双驱优选混合,混合型,李双全,华商基金
001453,鹏华弘鑫混合A,混合型,李韵怡,鹏华基金
001454,鹏华弘鑫混合C,混合型,李韵怡,鹏华基金
001456,华泰柏瑞制造2025混合A,混合型,李灿,华泰柏瑞基金
001457,华商新常态混合,混合型,高兵,华商基金
001463,光大一带一路混合,混合型,黄兴亮,光大保德信基金
001464,光大鼎鑫混合A,混合型,何奇,光大保德信基金
001466,华富永鑫灵活配置混合A,混合型,张惠,华富基金
001467,华富永鑫灵活配置混合C,混合型,张惠,华富基金
001468,广发改革混合,混合型,王小松,广发基金
001470,融通通鑫灵活配置混合,混合型,余志勇,融通基金
001471,融通新能源灵活配置混合,混合型,付伟琦,融通基金
001474,兴银丰盈灵活配置,混合型,张晓南,兴银基金
001475,易方达国防军工混合,混合型,陈皓,易方达基金
001479,中邮风格轮动灵活配置混合,混合型,国晓雯,中邮基金
001480,财通成长优选混合,混合型,金梓才,财通基金
001483,天弘喜利灵活配置混合,混合型,钱文成,天弘基金
001484,天弘新价值混合,混合型,姜晓丽,天弘基金
001485,华安添颐养老混合,混合型,孙丽娜,华安基金
001487,宝盈优势产业混合,混合型,段鹏程,宝盈基金
001488,万家瑞丰灵活配置混合A,混合型,高翰昆,万家基金
001489,万家瑞丰灵活配置混合C,混合型,高翰昆,万家基金
001491,国泰生益灵活配置混合A,混合型,樊利安,国泰基金
001492,鹏华弘锐混合A,混合型,刘方正,鹏华基金
001493,鹏华弘锐混合C,混合型,刘方正,鹏华基金
001494,信诚新鑫混合A,混合型,杨立春,信诚基金
001495,东方新价值混合A,混合型,周薇,东方基金
001498,建信鑫荣回报灵活配置混合,混合型,牛兴华,建信基金
001499,国投瑞银新增长混合,混合型,桑俊,国投瑞银基金
001500,泓德远见回报混合,混合型,邬传雁,泓德基金
001501,招商丰裕混合A,混合型,何文韬,招商基金
001502,招商丰裕混合C,混合型,何文韬,招商基金
001503,南方利鑫C,混合型,孙鲁闽,南方基金
001504,南方利淘C,混合型,孙鲁闽,南方基金
001505,南方利众C,混合型,吴剑毅,南方基金
001506,景顺长城泰和回报混合A,混合型,万梦,景顺长城基金
001507,景顺长城泰和回报混合C,混合型,万梦,景顺长城基金
001508,富国新动力灵活配置混合A,混合型,李晓铭,富国基金
